Area_Name,Subgroup,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19
Andaman & Nicobar Islands,Total Rape Cases,3,2,2,10,4,6,3,12,18,24
Andhra Pradesh,Total Rape Cases,871,1002,946,1016,935,1049,1070,1257,1188,1362
Arunachal Pradesh,Total Rape Cases,33,38,31,42,35,37,48,42,59,47
Assam,Total Rape Cases,817,970,1095,1171,1238,1244,1437,1438,1631,1721
Bihar,Total Rape Cases,888,1040,985,1390,1147,1232,1555,1302,929,795
Chandigarh,Total Rape Cases,18,18,18,19,33,19,22,20,29,31
Chhattisgarh,Total Rape Cases,959,992,898,969,990,995,982,978,976,1012
Dadra & Nagar Haveli,Total Rape Cases,6,4,1,7,5,6,7,6,4,3
Daman & Diu,Total Rape Cases,0,0,5,1,2,3,1,0,1,1
Delhi,Total Rape Cases,381,403,490,551,658,623,598,466,469,507
Goa,Total Rape Cases,12,12,31,37,20,21,20,30,47,36
Gujarat,Total Rape Cases,286,267,236,339,324,354,316,374,433,408
Haryana,Total Rape Cases,398,361,353,386,461,608,488,631,603,720
Himachal Pradesh,Total Rape Cases,124,137,126,153,141,113,159,157,183,160
Jammu & Kashmir,Total Rape Cases,169,192,211,218,201,250,288,219,237,245
Jharkhand,Total Rape Cases,567,797,712,797,753,799,855,791,719,773
Karnataka,Total Rape Cases,293,292,321,291,343,400,436,446,509,586
Kerala,Total Rape Cases,562,499,394,480,478,601,512,568,568,634
Lakshadweep,Total Rape Cases,0,1,2,0,0,0,1,2,1,0
Madhya Pradesh,Total Rape Cases,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135
Maharashtra,Total Rape Cases,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599
Manipur,Total Rape Cases,20,14,18,31,25,40,20,38,31,34
Meghalaya,Total Rape Cases,26,38,40,54,63,74,82,88,112,149
Mizoram,Total Rape Cases,52,76,54,20,37,72,83,77,83,92
Nagaland,Total Rape Cases,17,17,14,18,17,23,13,19,22,16
Odisha,Total Rape Cases,790,691,725,770,799,985,939,1113,1023,1025
Puducherry,Total Rape Cases,9,6,2,4,6,9,9,8,1,3
Punjab,Total Rape Cases,298,299,380,390,398,442,519,517,511,546
Rajasthan,Total Rape Cases,1049,1051,1050,1038,993,1085,1238,1355,1519,1571
Sikkim,Total Rape Cases,8,6,10,3,18,20,24,20,18,18
Tamil Nadu,Total Rape Cases,423,534,557,618,571,457,523,573,596,686
Tripura,Total Rape Cases,102,108,114,160,162,189,157,204,190,238
Uttar Pradesh,Total Rape Cases,1958,1415,911,1397,1217,1314,1648,1871,1759,1563
Uttarakhand,Total Rape Cases,74,89,107,115,133,147,117,87,111,121
West Bengal,Total Rape Cases,709,759,1002,1475,1686,1731,2106,2263,2336,2311
